feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Prevotella_loescheii	antibiotics	antibiotics	0.144178189984996	0.322170340935902	48	5	0.659893985058473	1
s__Prevotella_loescheii	sex	M	1.12651188441316	0.689673473513598	48	5	0.157634224286913	1
s__Prevotella_melaninogenica	fev1	Mo	1.21187134435946	2.35582426818229	48	15	0.63044381277304	1
s__Prevotella_melaninogenica	fev1	Se	1.78776656250049	2.2115059048632	48	15	0.46859380284272	1
s__Prevotella_melaninogenica	antibiotics	antibiotics	0.102662221921758	0.621990274242962	48	15	0.869808358082367	1
s__Prevotella_melaninogenica	sex	M	4.56243365729254	1.94588544408431	48	15	0.0807354654781999	1
s__Prevotella_nanceiensis	fev1	Mo	0.582333878151646	0.704507374045424	48	8	0.435462952687594	1
s__Prevotella_nanceiensis	fev1	Se	0.203630738793991	0.605163650112132	48	8	0.752656547244839	1
s__Prevotella_nanceiensis	antibiotics	antibiotics	-0.229037866326352	0.240272921288265	48	8	0.354032421120355	1
s__Prevotella_nanceiensis	sex	M	0.224516219314979	0.539611827769387	48	8	0.698134429488801	1
s__Prevotella_veroralis	fev1	Mo	-1.00373024727037	0.728049132777971	48	5	0.2087281704329	1
s__Prevotella_veroralis	fev1	Se	-1.12155270710548	0.696899094158113	48	5	0.157149561853305	1
s__Prevotella_veroralis	antibiotics	antibiotics	-0.0837605258423407	0.166865220159539	48	5	0.618284181038499	1
s__Prevotella_veroralis	sex	M	-1.02007182712834	0.609296031141259	48	5	0.140916053810926	1
s__Capnocytophaga_gingivalis	fev1	Mo	0.520515964471046	0.420192876858962	48	6	0.222156026074569	1
s__Capnocytophaga_gingivalis	fev1	Se	0.676586227271238	0.343486694741482	48	6	0.0553290674576737	1
s__Capnocytophaga_gingivalis	antibiotics	antibiotics	-0.115582880021228	0.149104187517203	48	6	0.442474415525979	1
s__Capnocytophaga_gingivalis	sex	M	0.661255296253271	0.303181680433488	48	6	0.0346955643365306	1
s__Capnocytophaga_unclassified	fev1	Mo	0.000280241174965943	1.35057428276076	48	8	0.999840472189306	1
s__Capnocytophaga_unclassified	fev1	Se	0.54588398274135	1.19970692993024	48	8	0.670680332118282	1
s__Capnocytophaga_unclassified	antibiotics	antibiotics	-0.487467499909115	0.435128984332316	48	8	0.274077523332516	1
s__Capnocytophaga_unclassified	sex	M	0.772143844877403	1.06824831452892	48	8	0.504842812820405	1
s__Gemella_haemolysans	fev1	Mo	-0.621806474803069	2.15959189209715	48	11	0.783964855026679	1
s__Gemella_haemolysans	fev1	Se	-0.623858005961216	2.07550807570171	48	11	0.776617260103137	1
s__Gemella_haemolysans	antibiotics	antibiotics	0.167693105488956	0.475993369525285	48	11	0.726343660871515	1
s__Gemella_haemolysans	sex	M	3.58158118777379	1.81200482773445	48	11	0.10557201613356	1
s__Gemella_sanguinis	fev1	Mo	-0.114580816570652	0.825763194819736	48	6	0.898365285878811	1
s__Gemella_sanguinis	fev1	Se	-0.204060117825653	0.767801044470412	48	6	0.812817979452152	1
s__Gemella_sanguinis	antibiotics	antibiotics	0.0574434766347648	0.229192237190331	48	6	0.803856843004653	1
s__Gemella_sanguinis	sex	M	0.899101488326105	0.677444055539163	48	6	0.295337265059421	1
s__Gemella_unclassified	fev1	Mo	0.847246960788806	1.08770949031182	48	6	0.440288125527639	1
s__Gemella_unclassified	fev1	Se	0.482733571064971	0.889148194179299	48	6	0.589990327102283	1
s__Gemella_unclassified	antibiotics	antibiotics	0.0167593107440636	0.385970464373513	48	6	0.965566768833508	1
s__Staphylococcus_aureus	fev1	Mo	-4.6525850037593	4.02553718678093	48	38	0.29018836603356	1
s__Staphylococcus_aureus	fev1	Se	-5.27678003669827	3.67784614856338	48	38	0.217692926985378	1
s__Staphylococcus_aureus	antibiotics	antibiotics	-1.12467979610617	1.19978083717712	48	38	0.356030472659339	1
s__Staphylococcus_aureus	sex	M	-5.98501256543482	3.25916817934642	48	38	0.128490265332013	1
s__Abiotrophia_defectiva	fev1	Mo	1.26830309897147	1.08212696560607	48	6	0.346587543768679	1
s__Abiotrophia_defectiva	fev1	Se	-0.0245300978061917	1.02145902981555	48	6	0.983190518930958	1
s__Abiotrophia_defectiva	antibiotics	antibiotics	-0.172853591037652	0.276229813757464	48	6	0.535585339069749	1
s__Abiotrophia_defectiva	sex	M	0.988713946036219	0.897241890564457	48	6	0.386458894340859	1
s__Granulicatella_adiacens	fev1	Mo	1.08253177174401	0.931702953219391	48	6	0.300243539859137	1
s__Granulicatella_adiacens	fev1	Se	-0.229349993262381	0.831236146170515	48	6	0.799980595688127	1
s__Granulicatella_adiacens	antibiotics	antibiotics	-0.116095065153184	0.297227720908378	48	6	0.700228374177531	1
s__Granulicatella_adiacens	sex	M	1.0686179431487	0.739746548698744	48	6	0.237080857427539	1
s__Granulicatella_unclassified	fev1	Mo	0.489356817794208	1.5877554404906	48	11	0.770286333046126	1
s__Granulicatella_unclassified	fev1	Se	-0.178947338272127	1.50737323074937	48	11	0.911106244928596	1
s__Granulicatella_unclassified	antibiotics	antibiotics	-0.015468986420579	0.389465873836853	48	11	0.968512861224592	1
s__Granulicatella_unclassified	sex	M	2.4433028995986	1.32160375425926	48	11	0.13211458799345	1
s__Streptococcus_anginosus	fev1	Mo	-0.117477212429411	0.899251831031337	48	5	0.896670292340898	1
s__Streptococcus_anginosus	fev1	Se	0.361565684641839	0.735093468242814	48	5	0.625317506793972	1
s__Streptococcus_anginosus	antibiotics	antibiotics	0.129209744724815	0.319096826775314	48	5	0.687541311872688	1
s__Streptococcus_anginosus	sex	M	1.86960406405219	0.648836989582007	48	5	0.00615264348948211	1
s__Streptococcus_australis	fev1	Mo	0.0634012060759573	0.848604989019693	48	5	0.943327147994148	1
s__Streptococcus_australis	fev1	Se	-0.316529509392287	0.795735468527729	48	5	0.711581820143049	1
s__Streptococcus_australis	antibiotics	antibiotics	0.122504138884457	0.225469614996506	48	5	0.590186274863871	1
s__Streptococcus_australis	sex	M	0.917876394230579	0.700394009404735	48	5	0.257146016800878	1
s__Streptococcus_infantis	fev1	Mo	-0.131609908628002	1.59252972795766	48	12	0.937007915803167	1
s__Streptococcus_infantis	fev1	Se	-1.2882128587611	1.50031315636383	48	12	0.43440274969598	1
s__Streptococcus_infantis	antibiotics	antibiotics	0.14043430648735	0.411591251402149	48	12	0.734797100915466	1
s__Streptococcus_infantis	sex	M	2.44772257752359	1.31867163074925	48	12	0.125439154677364	1
s__Streptococcus_mitis_oralis_pneumoniae	fev1	Mo	-0.49524477958579	1.41986743846674	48	17	0.741461824628962	1
s__Streptococcus_mitis_oralis_pneumoniae	fev1	Se	-1.20154898036661	1.30709157318287	48	17	0.414847761828671	1
s__Streptococcus_mitis_oralis_pneumoniae	antibiotics	antibiotics	0.0631066580091458	0.411497775992735	48	17	0.879135612331174	1
s__Streptococcus_mitis_oralis_pneumoniae	sex	M	2.76522046899283	1.15625966370084	48	17	0.076514130516358	1
s__Streptococcus_parasanguinis	fev1	Mo	-1.39917085305446	2.13636526031451	48	12	0.536541366400028	1
s__Streptococcus_parasanguinis	fev1	Se	-3.43695494757582	2.08957534229729	48	12	0.155103780935	1
s__Streptococcus_parasanguinis	antibiotics	antibiotics	0.297405351660254	0.366302680350365	48	12	0.421422510024062	1
s__Streptococcus_parasanguinis	sex	M	0.577244090891106	1.81201351267164	48	12	0.761304661973447	1
s__Streptococcus_salivarius	fev1	Mo	-0.576491768130824	0.615635683508831	48	9	0.397339627431163	1
s__Streptococcus_salivarius	fev1	Se	-0.61089284916161	0.580621210132817	48	9	0.359946752072821	1
s__Streptococcus_salivarius	antibiotics	antibiotics	0.0578605120552308	0.158021827972029	48	9	0.716280304128518	1
s__Streptococcus_salivarius	sex	M	0.855690931710106	0.510151597583072	48	9	0.173447792965932	1
s__Streptococcus_sanguinis	fev1	Mo	0.485125634693465	1.34461232059624	48	11	0.720021282177052	1
s__Streptococcus_sanguinis	fev1	Se	0.0156550094608549	1.09915342964107	48	11	0.988702162820274	1
s__Streptococcus_sanguinis	antibiotics	antibiotics	-0.410092683346128	0.477131666502326	48	11	0.3948335258217	1
s__Streptococcus_sanguinis	sex	M	1.42097232762067	0.970177852459815	48	11	0.15028962362234	1
s__Oribacterium_sinus	fev1	Mo	0.91915481146794	0.717929638937528	48	5	0.207308391921005	1
s__Oribacterium_sinus	fev1	Se	0.41307232582124	0.586871630425969	48	5	0.485317572407492	1
s__Oribacterium_sinus	antibiotics	antibiotics	-0.263549088665103	0.25475518839942	48	5	0.306676880569373	1
s__Oribacterium_sinus	sex	M	0.260620569260634	0.518007625434226	48	5	0.61744665419131	1
s__Peptostreptococcus_unclassified	fev1	Mo	0.426808728074481	1.12659713590916	48	5	0.750536265483931	1
s__Peptostreptococcus_unclassified	fev1	Se	-0.0864989353976819	1.05558763531892	48	5	0.946445546658255	1
s__Peptostreptococcus_unclassified	antibiotics	antibiotics	-0.0512595196477538	0.300630513915655	48	5	0.865920216100711	1
s__Peptostreptococcus_unclassified	sex	M	0.85369881179818	0.929326467093694	48	5	0.49984773496062	1
s__Solobacterium_moorei	fev1	Mo	-1.30394920178284	1.51312682149577	48	9	0.426008329181421	1
s__Solobacterium_moorei	fev1	Se	-1.60539680008157	1.44697360830329	48	9	0.323611484493825	1
s__Solobacterium_moorei	antibiotics	antibiotics	-0.0986058262841182	0.3498836256249	48	9	0.779458939418302	1
s__Solobacterium_moorei	sex	M	-0.490060543089769	1.26551707183401	48	9	0.715407180811215	1
s__Veillonella_atypica	fev1	Mo	-0.426721499618209	1.45117723085038	48	9	0.780271383345476	1
s__Veillonella_atypica	fev1	Se	-1.19926807396337	1.25623365838985	48	9	0.409307735658479	1
s__Veillonella_atypica	antibiotics	antibiotics	-0.201334851200907	0.489742522388314	48	9	0.687053487235139	1
s__Veillonella_atypica	sex	M	0.846910633490819	1.12033648194402	48	9	0.503944684962149	1
s__Veillonella_parvula	fev1	Mo	0.868653377389412	0.980353550907645	48	10	0.457043999593133	1
s__Veillonella_parvula	fev1	Se	0.321537977879078	0.857160178596158	48	10	0.756615959558421	1
s__Veillonella_parvula	antibiotics	antibiotics	-0.254729201104866	0.325696738201163	48	10	0.454543641714452	1
s__Veillonella_parvula	sex	M	0.765715723799669	0.764248367562264	48	10	0.455874442406482	1
s__Veillonella_unclassified	fev1	Mo	1.53783445677674	2.9708068089939	48	13	0.62367492448567	1
s__Veillonella_unclassified	fev1	Se	-1.61507167098135	2.90246218415048	48	13	0.600461933040545	1
s__Veillonella_unclassified	antibiotics	antibiotics	-0.0362619060319411	0.520793501219285	48	13	0.944819029829652	1
s__Veillonella_unclassified	sex	M	3.15765041054506	2.51807229384441	48	13	0.260222813945494	1
s__Fusobacterium_nucleatum	fev1	Mo	-1.44069708646409	1.25117531671827	48	11	0.287329314955891	1
s__Fusobacterium_nucleatum	fev1	Se	-0.458313964742411	1.05055545928001	48	11	0.685712367935967	1
s__Fusobacterium_nucleatum	antibiotics	antibiotics	-0.0273893669971596	0.436940873935687	48	11	0.950977544015284	1
s__Fusobacterium_nucleatum	sex	M	0.730184616292692	0.934432780958692	48	11	0.483291983121992	1
s__Neisseria_meningitidis	fev1	Mo	0.419436813991005	0.611113096654616	48	8	0.496177657833726	1
s__Neisseria_meningitidis	fev1	Se	0.0172129196590325	0.499554440932568	48	8	0.972672549792152	1
s__Neisseria_meningitidis	antibiotics	antibiotics	-0.0937786926318943	0.216851657360182	48	8	0.667571566442126	1
s__Neisseria_sicca	fev1	Mo	0.900525968166883	0.78726575889738	48	6	0.259007529522968	1
s__Neisseria_sicca	fev1	Se	0.056555153815671	0.643550446233697	48	6	0.93038012413292	1
s__Neisseria_sicca	antibiotics	antibiotics	0.0447061095917443	0.279358903506374	48	6	0.873605984724342	1
s__Neisseria_sicca	sex	M	0.918056074027659	0.568035701876897	48	6	0.113366523242857	1
s__Neisseria_subflava	fev1	Mo	-0.55277990170281	1.62506271512426	48	6	0.749035824007463	1
s__Neisseria_subflava	fev1	Se	-1.29961222366881	1.5534183146748	48	6	0.452848920621518	1
s__Neisseria_subflava	antibiotics	antibiotics	0.161942262518682	0.377054533421686	48	6	0.669768472896961	1
s__Neisseria_subflava	sex	M	1.89371743816618	1.35879582173377	48	6	0.236084380766748	1
s__Neisseria_unclassified	fev1	Mo	1.62474473527766	1.19816868982334	48	13	0.182170367187764	1
s__Neisseria_unclassified	fev1	Se	-0.280992636038273	0.979443074063083	48	13	0.775574302481436	1
s__Neisseria_unclassified	antibiotics	antibiotics	0.060477139063254	0.425166581452132	48	13	0.887552156693806	1
s__Neisseria_unclassified	sex	M	1.81931581971357	0.864514409522847	48	13	0.0412232956300364	1
s__Haemophilus_influenzae	fev1	Mo	-3.39812729763595	2.2620389233856	48	11	0.171594901197183	1
s__Haemophilus_influenzae	fev1	Se	-2.75745210521041	2.15570021841609	48	11	0.243594329870811	1
s__Haemophilus_influenzae	antibiotics	antibiotics	-0.505757879553176	0.538688215360844	48	11	0.353161554893742	1
s__Haemophilus_influenzae	sex	M	-3.50695477956422	1.88761461563145	48	11	0.105115995393975	1
s__Haemophilus_parainfluenzae	fev1	Mo	0.351016079180215	1.32183695070176	48	12	0.824251256192019	1
s__Haemophilus_parainfluenzae	fev1	Se	-1.81028542329394	1.14784485920268	48	12	0.398436895664348	1
s__Haemophilus_parainfluenzae	antibiotics	antibiotics	0.579770238425411	0.444026534583885	48	12	0.247864577661183	1
s__Haemophilus_parainfluenzae	sex	M	2.33271164189664	1.02364887369808	48	12	0.305082023881948	1
s__Pseudomonas_aeruginosa	fev1	Mo	2.51509481531038	2.587289263225	48	12	0.365411442520783	1
s__Pseudomonas_aeruginosa	fev1	Se	-1.73345871049867	2.54582677961383	48	12	0.52068510148049	1
s__Pseudomonas_aeruginosa	antibiotics	antibiotics	0.0481383111734217	0.384439503413426	48	12	0.900965697569923	1
s__Pseudomonas_aeruginosa	sex	M	1.84527881167491	2.20220734702462	48	12	0.43256972466643	1
s__Pseudomonas_unclassified	fev1	Mo	0.893013810231864	1.0041916712568	48	6	0.402337690230821	1
s__Pseudomonas_unclassified	fev1	Se	-0.675452572300871	0.888409758609629	48	6	0.483296330410537	1
s__Pseudomonas_unclassified	antibiotics	antibiotics	0.278918690008749	0.326326081641297	48	6	0.401446861023416	1
s__Pseudomonas_unclassified	sex	M	-0.68126712667514	0.791411470508751	48	6	0.429330804626539	1
s__Stenotrophomonas_maltophilia	fev1	Mo	-2.29699562114127	2.63315747628726	48	20	0.411828877730031	1
s__Stenotrophomonas_maltophilia	fev1	Se	1.84661862336419	2.60445334356034	48	20	0.502120274156971	1
s__Stenotrophomonas_maltophilia	antibiotics	antibiotics	0.345552508249074	0.326445468016297	48	20	0.29620886812919	1
s__Stenotrophomonas_maltophilia	sex	M	-1.04542711102916	2.24793513746247	48	20	0.65629248428965	1
s__Stenotrophomonas_unclassified	fev1	Mo	-1.1679416788841	1.31314773618556	48	11	0.397943536939592	1
s__Stenotrophomonas_unclassified	fev1	Se	0.502029661915741	1.15781663343245	48	11	0.68074411873768	1
s__Stenotrophomonas_unclassified	antibiotics	antibiotics	0.00813309111565549	0.429627240716574	48	11	0.985049023364669	1
s__Stenotrophomonas_unclassified	sex	M	-0.566611402706856	1.03173031319637	48	11	0.603336059549053	1
s__Murine_osteosarcoma_virus	fev1	Mo	0.096772069096029	0.63972591970955	48	5	0.882446091203268	1
s__Murine_osteosarcoma_virus	fev1	Se	0.621118350938616	0.570562901271043	48	5	0.3089336459661	1
s__Murine_osteosarcoma_virus	antibiotics	antibiotics	-0.0376871253837582	0.204233709383489	48	5	0.854818196371026	1
s__Murine_osteosarcoma_virus	sex	M	-0.118289101271518	0.507785732800254	48	5	0.821551024039712	1
