	C10_S10_bmtagger_1	C11_S11_bmtagger_1	D01_S13_bmtagger_1	D03_S15_bmtagger_1	D04_S16_bmtagger_1	D05_S17_bmtagger_1	D06_S18_bmtagger_1	D07_S19_bmtagger_1	F11_S47_bmtagger_1	GCF_000072485.1_ASM7248v1_genomic	GCF_002208885.1_ASM220888v1_genomic	GCF_900186865.1_49243_F02_genomic
g003342	1	1	1	1	1	1	1	1	1	1	1	1
g003343	1	1	1	1	1	1	1	1	1	1	1	1
g003344	0	1	1	1	1	1	1	1	1	1	0	1
g003345	1	1	1	1	1	1	1	1	1	1	1	1
g003346	0	0	0	0	0	0	0	0	0	1	0	0
g003347	0	1	1	1	1	1	1	1	1	1	0	1
g003348	0	1	1	1	1	1	1	1	1	1	1	1
g003349	1	1	1	1	1	1	1	1	1	1	1	1
g003350	0	0	0	0	0	0	0	0	0	1	0	0
g003351	1	1	0	1	0	1	0	0	1	1	0	1
g003352	1	1	0	0	1	0	0	1	1	1	1	1
g003353	0	1	0	0	0	0	0	0	1	1	0	1
g003354	1	1	1	1	1	1	1	1	1	1	1	1
g003355	1	1	1	1	1	1	1	1	1	1	1	1
g003356	0	0	0	0	0	0	0	0	0	1	0	0
g003357	0	1	1	1	1	1	1	1	1	1	1	0
g003358	1	1	1	1	1	1	1	1	1	1	1	1
g003359	0	0	0	0	0	0	0	0	0	1	0	0
g003360	1	1	1	1	1	1	1	1	1	1	1	1
g003361	0	0	1	1	1	1	1	1	0	1	0	0
g003362	1	1	1	1	0	1	1	1	1	1	1	1
g003363	0	1	1	1	1	1	1	1	1	1	1	1
g003364	0	0	0	0	0	0	0	0	0	1	0	0
g003365	1	1	1	1	1	1	1	0	1	1	0	1
g003366	1	1	1	1	1	1	1	1	1	1	1	1
g003367	1	1	1	1	1	1	1	1	1	1	1	1
g003368	1	1	1	1	1	1	1	1	1	1	1	1
g003369	1	0	0	0	0	0	0	0	0	1	1	0
g003370	1	1	1	1	1	1	1	1	1	1	0	0
g003371	1	1	1	1	1	1	1	0	1	1	1	1
g003372	1	1	1	1	1	1	1	1	1	1	1	0
g003373	1	1	1	1	1	1	1	1	1	1	1	1
g003374	1	1	1	1	1	1	1	1	1	1	1	1
g003375	1	1	1	1	1	1	1	1	1	1	1	1
g003376	1	1	1	1	1	1	1	1	1	1	1	0
g003377	1	1	1	1	1	1	1	1	1	1	1	0
g003378	0	0	0	0	1	0	1	1	0	1	0	0
g003379	1	1	1	1	1	1	1	0	1	1	1	1
g003380	1	1	1	1	1	1	1	1	1	1	1	1
g003381	1	1	1	1	1	1	1	1	1	1	1	1
g003382	0	0	1	1	1	1	1	1	0	1	0	0
g003383	1	1	1	1	1	1	1	1	1	1	1	1
g003384	0	1	1	1	1	1	1	1	1	1	1	1
g003385	0	0	1	1	1	1	1	1	0	1	1	0
g003386	1	1	1	1	1	1	1	1	1	1	1	1
g003387	1	0	1	1	1	1	1	1	1	1	1	0
g003388	0	0	1	0	0	0	0	0	0	1	1	0
g003389	0	1	1	1	1	1	1	1	1	1	1	1
g003390	1	1	1	0	1	0	0	0	1	1	1	0
g003391	1	1	1	1	1	1	1	1	1	1	0	1
g003392	1	1	1	1	1	1	1	1	1	1	0	1
g003393	1	1	1	1	1	1	1	1	1	1	1	1
g003394	1	1	1	1	1	1	1	1	1	1	1	1
g003395	1	1	1	1	1	1	1	1	1	1	1	1
g003396	1	1	1	1	1	1	1	1	1	1	1	1
g003397	0	0	0	0	0	0	0	0	0	1	0	0
g003398	0	0	0	0	0	0	0	0	0	1	0	0
g003399	0	0	0	0	0	0	0	0	0	1	0	0
g003400	0	0	0	0	0	0	0	0	0	1	0	0
g003401	0	1	0	0	0	0	0	0	1	1	0	0
g003402	0	0	0	0	0	0	0	0	0	1	0	0
g003403	0	0	0	0	0	0	0	0	0	1	0	0
g003404	0	0	0	0	0	0	0	0	0	1	0	0
g003405	0	0	0	0	0	0	0	0	0	1	0	0
g003406	0	0	0	0	0	0	0	0	0	1	0	0
g003407	0	0	0	0	0	0	0	0	0	1	0	0
g003408	0	0	0	0	0	0	0	0	0	1	0	0
g003409	0	0	0	0	0	0	0	0	0	1	0	0
g003410	0	0	0	0	0	0	0	0	0	1	0	0
g003411	0	0	0	0	0	0	0	0	0	1	0	0
g003412	0	0	0	0	0	0	0	0	0	1	0	0
g003413	0	0	0	0	0	0	0	0	0	1	0	0
g003414	0	0	0	0	0	0	0	0	0	1	0	0
g003415	0	0	0	0	0	0	0	0	0	1	0	0
g003416	0	0	0	0	0	0	0	0	0	1	0	0
g003417	0	0	0	0	0	0	0	0	0	1	0	0
g003418	0	0	0	0	0	0	0	0	0	1	0	0
g003419	0	0	0	0	0	0	0	0	0	1	0	0
g003420	0	0	0	0	0	0	0	0	0	1	0	0
g003421	0	0	0	0	0	0	0	0	0	1	0	0
g003422	0	0	0	0	0	0	0	0	0	1	0	0
g003423	0	0	0	0	0	0	0	0	0	1	0	0
g003424	0	0	0	0	0	0	0	0	0	1	0	0
g003425	0	0	0	0	0	0	0	0	0	1	0	0
g003426	0	0	0	0	0	0	0	0	0	1	0	0
g003427	0	0	0	0	0	0	0	0	0	1	0	0
g003428	0	0	0	0	0	0	0	0	0	1	0	0
g003429	0	0	0	0	0	0	0	0	0	1	0	0
g003430	0	0	0	0	0	0	0	0	0	1	0	0
g003431	0	0	0	0	0	0	0	0	0	1	0	0
g003432	0	0	0	0	0	0	0	0	0	1	0	0
g003433	0	0	0	0	0	0	0	0	0	1	0	0
g003434	0	0	0	0	0	0	0	0	0	1	0	0
g003435	0	0	0	0	0	0	0	0	0	1	0	0
g003436	0	0	0	0	0	0	0	0	0	1	0	0
g003437	0	0	0	0	0	0	0	0	0	1	0	0
g003438	0	0	0	0	0	0	0	0	0	1	0	0
g003439	0	0	0	0	0	0	0	0	0	1	0	0
g003440	0	0	0	0	0	0	0	0	0	1	0	0
g003441	0	0	0	0	0	0	0	0	0	1	0	0
g003442	0	0	0	0	0	0	0	0	0	1	0	0
g003443	0	0	0	0	0	0	0	0	0	1	0	0
g003444	0	0	0	0	0	0	0	0	0	1	1	0
g003445	0	0	0	0	0	0	0	0	0	1	1	0
g003446	0	0	0	0	0	0	0	0	0	1	1	0
g003447	0	0	0	0	0	0	0	0	0	1	0	0
g003448	1	1	1	1	1	1	1	1	1	1	1	1
g003449	0	1	1	1	1	1	1	1	1	1	1	1
g003450	1	1	1	1	1	1	1	1	1	1	1	0
g003451	0	0	0	0	0	0	0	0	0	1	0	0
g003452	0	1	1	1	1	1	1	1	1	1	1	1
g003453	1	0	0	0	1	0	0	1	1	1	0	0
g003454	1	1	1	1	1	1	1	1	1	1	1	1
g003455	0	0	0	0	0	0	0	0	0	1	0	0
g003456	0	0	0	0	0	0	0	0	0	1	0	0
g003457	1	1	1	1	1	1	1	1	1	1	1	1
g003458	0	1	0	0	0	0	0	0	0	1	0	0
g003459	1	1	1	1	1	1	1	1	1	1	1	1
g003460	1	1	1	1	1	1	1	0	1	1	1	1
g003461	1	1	1	1	1	1	1	1	1	1	1	1
g003462	1	1	1	1	1	1	0	0	1	1	1	1
g003463	1	1	1	1	0	1	1	0	1	1	0	1
g003464	1	1	1	1	1	1	1	0	1	1	0	1
g003465	0	1	1	1	1	1	1	1	1	1	0	1
g003466	0	0	0	0	0	0	0	0	1	1	0	0
g003467	1	1	1	1	1	1	1	1	1	1	1	0
g003468	1	1	1	1	1	1	1	1	1	1	0	1
g003469	1	1	0	1	1	1	1	1	1	1	1	1
g003470	0	1	1	1	1	1	1	1	1	1	1	1
g003471	1	1	1	1	1	1	1	0	1	1	1	1
g003472	1	1	1	1	1	1	1	1	1	1	1	1
g003473	1	1	1	1	1	1	1	1	1	1	1	0
g003474	1	1	1	1	1	1	1	1	1	1	1	1
g003475	1	0	0	0	0	0	0	0	1	1	0	1
g003476	1	0	1	0	1	1	0	1	1	1	1	0
g003477	1	1	1	1	1	1	1	1	1	1	1	1
g003478	1	1	1	1	1	1	1	1	1	1	1	1
g003479	1	1	1	1	1	1	1	1	1	1	1	1
g003480	1	1	1	1	1	1	1	1	1	1	1	1
g003481	0	0	0	0	0	0	0	0	0	1	0	0
g003482	1	1	1	1	1	1	1	1	1	1	1	1
g003483	1	0	1	1	1	1	1	0	1	1	1	1
g003484	1	1	1	1	1	1	1	1	1	1	1	1
g003485	0	1	1	1	1	1	1	1	1	1	1	1
g003486	1	1	1	1	1	1	1	1	1	1	1	1
g003487	0	0	1	1	1	1	1	1	0	1	1	0
g003488	1	1	1	1	1	1	1	1	1	1	1	1
g003489	0	1	1	1	1	1	0	0	1	1	0	1
g003490	1	1	1	1	1	1	1	1	1	1	1	1
g003491	1	1	1	1	1	1	1	1	1	1	1	1
g003492	1	1	1	1	1	1	0	1	1	1	1	1
g003493	1	1	1	1	1	1	1	1	1	1	1	1
g003494	0	0	0	0	0	0	0	0	0	1	0	0
g003495	1	1	1	1	1	1	1	1	1	1	1	1
g003496	1	1	1	1	1	1	1	1	1	1	1	1
g003497	1	1	1	1	1	1	1	0	1	1	1	1
g003498	0	0	0	0	0	0	0	0	0	1	0	0
g003499	0	0	0	0	0	0	0	0	0	1	0	0
g003500	0	0	0	0	0	0	0	0	0	1	0	0
g003501	0	0	0	0	0	0	0	0	0	1	0	0
g003502	0	0	0	0	0	0	0	0	0	1	0	1
g003503	0	0	0	0	0	0	0	0	0	1	0	0
g003504	0	0	0	0	0	0	0	0	0	1	0	0
g003505	0	0	0	0	0	0	0	0	0	1	0	0
g003506	0	0	0	0	0	0	0	0	0	1	0	0
g003507	0	0	0	0	0	0	0	0	0	1	0	0
g003508	0	0	0	0	0	0	0	0	0	1	0	0
g003509	0	0	0	0	0	0	0	0	0	1	0	0
g003510	1	1	0	0	0	0	0	0	1	1	1	0
g003511	0	0	0	0	0	0	0	0	0	1	0	0
g003512	1	0	0	0	0	0	0	0	0	1	0	0
g003513	0	0	0	1	1	1	1	1	1	1	0	0
g003514	0	0	0	0	0	0	0	0	0	1	0	0
g003515	1	1	0	0	1	0	1	1	1	1	1	1
g003516	0	0	0	0	0	0	0	0	0	1	0	0
g003517	0	0	1	1	1	1	1	1	0	1	0	0
g003518	0	0	1	1	0	0	1	0	0	1	0	0
g003519	0	0	1	0	1	1	0	1	0	1	0	0
g003520	1	1	1	1	1	1	1	1	1	1	0	0
g003521	0	0	1	1	1	1	1	1	0	1	0	1
g003522	0	1	1	1	1	1	1	1	1	1	1	1
g003523	1	1	1	1	1	1	1	1	1	1	1	1
g003524	1	1	1	1	1	1	1	1	1	1	0	0
g003525	1	1	1	1	1	1	1	1	1	1	1	1
g003526	0	0	1	1	1	1	1	1	1	1	1	0
g003527	1	1	1	1	1	1	1	1	1	1	1	1
g003528	0	0	1	1	0	0	1	1	0	1	0	0
g003529	0	1	1	1	1	1	1	1	1	1	1	1
g003530	0	1	1	1	1	1	1	1	1	1	1	1
g003531	1	1	1	1	1	1	1	1	1	1	1	1
g003532	0	0	1	1	1	1	1	1	1	1	0	1
g003533	0	0	0	0	0	0	0	1	1	1	1	0
g003534	1	0	0	0	0	0	0	0	0	1	0	0
g003535	1	1	1	1	1	1	1	1	1	1	0	1
g003536	0	0	0	1	0	1	1	0	1	1	0	1
g003537	1	1	1	1	1	1	1	1	1	1	1	1
g003538	1	1	1	1	1	1	1	1	1	1	0	1
g003539	0	0	0	0	0	0	0	0	0	1	0	0
g003540	1	1	1	1	1	1	1	1	1	1	1	0
g003541	1	1	1	1	1	1	1	1	1	1	0	1
g003542	1	1	1	1	1	1	1	1	1	1	0	1
g003543	0	0	1	1	1	1	1	1	0	1	0	1
g003544	0	0	1	1	1	1	1	1	0	1	0	1
g003545	0	0	1	1	1	1	1	1	0	1	0	1
g003546	0	0	1	1	1	1	1	1	0	1	0	1
g003547	0	0	1	1	1	1	1	1	0	1	0	1
g003548	0	0	1	1	1	1	1	1	0	1	0	1
g003549	0	0	1	1	1	1	1	1	0	1	0	1
g003550	0	0	1	1	1	1	1	1	0	1	0	1
g003551	0	0	1	1	1	1	1	1	0	1	0	1
g003552	0	0	1	1	1	1	1	1	0	1	0	1
g003553	0	0	1	1	1	1	1	1	0	1	0	1
g003554	0	0	1	1	1	1	1	1	0	1	0	1
g003555	0	0	1	1	1	1	1	1	0	1	0	1
g003556	0	0	1	1	1	1	1	1	0	1	0	1
g003557	0	0	1	1	1	1	1	1	0	1	0	1
g003558	0	0	1	1	1	1	1	1	0	1	0	1
g003559	0	0	1	1	1	1	1	1	0	1	0	0
g003560	1	1	1	1	1	1	1	1	1	1	1	1
g003561	1	1	1	1	1	1	1	1	1	1	1	1
g003562	0	0	1	1	1	1	1	1	0	1	0	1
g003563	0	0	1	1	1	1	1	1	0	1	0	1
g003564	1	0	1	1	1	1	1	1	0	1	0	1
g003565	1	1	1	1	1	1	1	1	0	1	0	1
g003566	0	0	1	1	1	1	1	1	0	1	0	1
g003567	0	1	1	1	1	1	1	1	1	1	0	1
g003568	0	0	1	1	1	1	1	1	0	1	0	1
g003569	0	1	1	1	1	1	1	1	1	1	0	1
g003570	1	1	1	1	1	1	1	1	1	1	0	1
g003571	1	1	1	1	1	1	1	0	1	1	0	1
g003572	1	1	1	1	1	1	1	1	1	1	0	1
g003573	0	1	1	1	1	1	1	1	1	1	0	1
g003574	1	1	1	1	0	1	1	1	1	1	1	1
g003575	1	1	1	1	1	1	1	1	1	1	1	1
g003576	1	1	1	1	1	1	1	1	1	1	1	1
g003577	0	0	0	0	0	0	1	0	0	1	0	1
g003578	0	0	1	0	0	1	1	0	0	1	0	0
g003579	1	1	1	1	1	1	1	1	1	1	1	1
g003580	1	1	0	1	1	1	1	1	1	1	1	0
g003581	1	1	1	1	1	1	1	1	1	1	1	1
g003582	1	1	1	1	1	1	1	1	1	1	1	0
g003583	1	1	1	1	1	1	1	1	1	1	1	1
g003584	1	1	1	1	0	1	1	1	1	1	0	1
g003585	1	1	0	0	0	0	0	0	1	1	0	1
g003586	0	0	0	0	0	0	0	0	0	1	0	0
g003587	1	1	0	0	0	0	0	0	1	1	0	1
g003588	1	1	0	0	0	0	0	0	1	1	0	1
g003589	1	1	0	0	0	0	0	0	1	1	0	1
g003590	1	0	0	0	0	0	0	0	0	1	0	0
g003591	0	1	0	0	0	0	0	0	1	1	0	0
g003592	0	0	1	1	1	1	1	1	0	1	1	0
g003593	0	0	0	0	0	0	0	0	0	1	0	0
g003594	0	0	1	1	1	1	0	1	0	1	0	0
g003595	0	0	1	1	1	1	1	1	0	1	1	0
g003596	0	0	1	1	1	1	1	1	0	1	1	0
g003597	0	0	1	1	1	1	1	1	0	1	1	0
g003598	0	1	1	1	1	1	1	1	1	1	1	1
g003599	1	1	1	1	1	1	1	1	1	1	1	1
g003600	0	1	1	1	1	1	1	1	1	1	0	0
g003601	1	1	1	1	1	1	1	1	1	1	1	0
g003602	0	0	0	0	0	0	0	0	1	1	0	0
g003603	1	1	1	1	1	1	1	1	1	1	1	1
g003604	1	1	1	1	1	1	1	1	1	1	1	1
g003605	1	1	1	1	1	1	1	1	1	1	1	1
g003606	1	1	0	0	0	0	0	0	1	1	0	0
g003607	0	0	1	1	1	1	1	1	0	1	1	0
g003608	0	0	1	1	1	1	1	1	0	1	0	0
g003609	1	1	1	1	1	1	1	1	1	1	1	1
g003610	1	1	1	1	1	1	1	1	1	1	1	1
g003611	1	1	1	1	1	1	1	1	1	1	1	1
g003612	1	1	1	1	0	0	1	1	1	1	0	1
g003613	0	1	1	1	1	1	0	1	1	1	1	1
g003614	1	1	0	1	1	1	1	1	1	1	1	0
g003615	0	1	1	1	1	1	1	1	1	1	1	1
g003616	0	0	0	0	0	0	0	0	0	1	0	0
g003617	0	0	1	1	1	1	1	1	0	1	0	0
g003618	0	0	0	0	0	0	0	0	0	1	0	0
g003619	1	1	1	1	1	1	1	1	1	1	1	1
g003620	1	1	1	1	1	1	1	1	1	1	1	1
g003621	1	1	1	1	1	1	1	1	1	1	1	1
g003622	1	1	1	1	1	1	1	1	1	1	1	0
g003623	0	1	1	1	1	1	1	1	1	1	1	1
g003624	1	1	1	1	1	1	0	1	1	1	1	1
g003625	1	1	1	1	1	1	1	1	1	1	1	1
g003626	0	1	1	1	1	1	0	1	1	1	1	1
g003627	1	1	1	1	1	1	1	1	1	1	0	1
g003628	1	1	1	1	1	1	1	0	1	1	1	0
g003629	0	0	0	0	0	0	0	0	0	1	0	0
g003630	1	1	1	1	1	1	1	1	1	1	1	0
g003631	1	1	1	1	1	1	1	1	1	1	1	0
g003632	0	0	1	1	1	1	1	1	1	1	1	0
g003633	1	1	1	1	1	1	1	1	1	1	1	1
g003634	1	1	1	1	1	1	1	1	1	1	1	1
g003635	1	1	1	1	1	1	1	1	1	1	1	1
g003636	1	1	1	1	1	1	1	1	1	1	1	1
g003637	1	1	1	1	1	1	1	1	1	1	1	1
g003638	0	0	1	1	1	1	1	1	1	1	0	1
g003639	1	1	1	1	1	1	1	1	1	1	1	1
g003640	1	1	0	0	0	0	0	0	0	1	0	0
g003641	1	1	1	1	1	1	1	1	1	1	1	1
g003642	1	1	1	1	1	1	1	1	1	1	1	1
g003643	1	1	1	1	1	1	1	0	1	1	1	1
g003644	1	1	1	1	1	1	1	1	1	1	1	1
g003645	1	1	1	1	1	1	1	1	1	1	1	1
g003646	1	1	1	1	1	1	1	1	1	1	1	1
g003647	1	1	1	1	1	1	1	1	1	1	1	1
g003648	1	1	1	1	1	1	1	1	1	1	1	1
g003649	1	1	1	1	1	1	1	1	1	1	1	0
g003650	1	1	1	1	1	1	1	1	1	1	1	1
g003651	1	1	1	1	1	1	0	0	1	1	0	1
g003652	1	0	0	0	0	0	0	0	0	1	0	0
g003653	1	1	1	1	1	1	1	1	1	1	1	1
g003654	0	1	1	1	0	1	1	1	1	1	1	0
g003655	1	1	1	1	1	1	1	1	1	1	1	1
g003656	1	0	1	1	0	0	1	1	1	1	0	0
g003657	1	1	1	1	1	1	1	1	1	1	1	1
g003658	1	1	1	1	1	1	1	1	1	1	1	1
g003659	1	1	1	1	1	1	1	1	1	1	1	1
g003660	0	0	0	0	0	0	0	0	0	1	0	0
g003661	0	0	0	0	0	0	0	0	0	1	0	0
g003662	0	0	0	0	0	0	0	0	0	1	0	0
g003663	0	0	0	0	0	0	0	0	0	1	0	0
g003664	1	1	1	1	1	1	1	1	1	1	0	1
g003665	1	1	1	1	1	1	1	1	1	1	0	1
g003666	1	1	1	1	1	1	1	1	1	1	1	1
g003667	1	1	1	1	1	1	1	1	1	1	1	0
g003668	1	1	1	1	1	1	1	1	0	1	0	0
g003669	0	0	0	0	0	0	0	0	0	1	0	0
g003670	0	0	0	0	0	0	0	0	0	1	0	0
g003671	0	0	0	0	0	0	0	0	0	1	0	0
g003672	1	1	1	1	1	1	1	1	1	1	1	1
g003673	1	1	1	1	1	1	1	1	1	1	1	1
g003674	1	1	1	1	1	1	1	1	1	1	1	1
g003675	1	1	1	1	1	1	1	1	1	1	1	1
g003676	1	1	1	1	1	1	1	1	1	1	1	1
g003677	1	1	1	1	1	1	1	1	1	1	1	1
g003678	1	1	1	1	1	1	1	1	1	1	1	0
g003679	1	1	1	1	1	1	1	1	1	1	1	1
g003680	0	0	1	1	1	1	1	1	0	1	1	1
g003681	1	1	1	0	1	0	1	0	0	1	1	0
g003682	1	1	1	1	1	1	1	1	0	1	1	1
g003683	1	1	1	1	1	1	1	1	1	1	1	1
g003684	1	1	0	0	0	0	0	1	1	1	0	0
g003685	1	1	1	1	1	1	1	1	1	1	1	1
g003686	1	1	0	0	0	0	0	0	0	1	0	0
g003687	1	1	1	1	1	1	1	1	1	1	0	1
g003688	1	1	1	1	1	1	1	1	1	1	1	1
g003689	1	1	1	1	1	1	1	1	1	1	0	1
g003690	1	1	1	1	1	1	1	1	1	1	1	0
g003691	1	1	1	1	1	1	1	1	0	1	0	0
